,FATAL,INCAPACITATING INJURY,NO INDICATION OF INJURY,NONINCAPACITATING INJURY,"REPORTED, NOT EVIDENT"
LIGHTING_CONDITION[T.UNKNOWN],-0.004386628326787104,-0.011387885246272456,0.042372257569566425,-0.012541446785192058,-0.0032788089762020587
FIRST_CRASH_TYPE[T.ANIMAL],0.0007795955096134308,.,0.0001253024245953712,-0.0005561669543833759,-0.00028508737199046166
FIRST_CRASH_TYPE[T.FIXED OBJECT],0.011264686260958907,-0.0426625658063724,0.2141089792430147,-0.05585125407567917,-0.07987216215307852
FIRST_CRASH_TYPE[T.HEAD ON],0.005210686180672621,0.016479061997863205,-0.00495337556823676,-0.007083882346168033,-0.008810841242195418
FIRST_CRASH_TYPE[T.OTHER NONCOLLISION],-0.000723213034782066,-0.0008516899089792514,0.0054623850148576335,.,-0.003208251207996379
FIRST_CRASH_TYPE[T.OTHER OBJECT],-0.0007105507031811639,-0.0034603274849571227,0.02505122141301702,-0.005795853367942424,-0.010937245845432578
FIRST_CRASH_TYPE[T.OVERTURNED],0.00011570460754087837,-0.0010464150641362547,0.001906340896460194,0.0005848743156263913,-0.0015569700001431702
FIRST_CRASH_TYPE[T.PARKED MOTOR VEHICLE],-0.009510299906948844,-0.09012880637330824,0.5216436069567599,-0.08396153516376331,-0.09618123932511217
FIRST_CRASH_TYPE[T.PEDALCYCLIST],-0.006495801480710659,0.013408792622932755,-0.1293911057270848,0.11652279630808289,0.000519860442624492
FIRST_CRASH_TYPE[T.PEDESTRIAN],0.018298216530241197,0.10962820436937011,-0.2708661659083006,0.10843153326225059,-0.002351759350736349
FIRST_CRASH_TYPE[T.REAR END],-0.030300854524150926,-0.05296431290137689,-0.053953423621423025,0.001874714451199172,0.1938439553074355
FIRST_CRASH_TYPE[T.REAR TO FRONT],-0.0003948334496061757,-0.0010029955277890876,0.002753823016096549,-0.002210911739424639,0.00116505422172637
FIRST_CRASH_TYPE[T.REAR TO REAR],.,.,0.0004893649486067003,-0.0002047297779588718,.
FIRST_CRASH_TYPE[T.REAR TO SIDE],-0.0005761083947571928,-0.0001673496025175132,0.0013792024380834926,-0.0005361122492637864,.
FIRST_CRASH_TYPE[T.SIDESWIPE OPPOSITE DIRECTION],-0.0008202272521388636,0.0008418618385572702,0.0012356837923196127,-0.0010282322468650755,-0.0002037080702917822
FIRST_CRASH_TYPE[T.SIDESWIPE SAME DIRECTION],-0.011397183012931859,-0.022044623805419727,0.07061002402982383,-0.03116884082413551,0.009081000387568039
FIRST_CRASH_TYPE[T.TRAIN],0.00024003358921799713,-0.00023265586445291145,.,.,.
FIRST_CRASH_TYPE[T.TURNING],-0.017204547315689926,-0.015975847706884327,0.042292124149916385,-0.00964994370407725,0.0036837020308980654
TRAFFICWAY_TYPE[T.CENTER TURN LANE],0.0006300642518425502,-0.0007038567956149342,0.0013349156944736061,0.0010043017493880273,-0.002435854234942199
TRAFFICWAY_TYPE[T.DIVIDED - W/MEDIAN (NOT RAISED)],-0.0009197762821586,-0.004827850555194817,0.0019087738404026386,-0.0029158565303039675,0.007528697834601582
TRAFFICWAY_TYPE[T.DIVIDED - W/MEDIAN BARRIER],0.0018535140477278964,-0.0012931637920623605,0.02455447686097459,-0.011904240315308432,-0.010535814432073399
TRAFFICWAY_TYPE[T.DRIVEWAY],-0.00018476860577456316,-0.0010242155918108542,0.0004540969551206558,0.0005852833189528338,0.0001661243361126449
"TRAFFICWAY_TYPE[T.FIVE POINT, OR MORE]",-0.00011400836721418183,-0.00019893331754213068,0.00014588849821915302,0.0007556746115210108,-0.0005998906959133987
TRAFFICWAY_TYPE[T.FOUR WAY],-0.0071988241492954306,0.00454404753485547,0.0020876174547577037,0.013742167670890974,-0.011265755028350552
TRAFFICWAY_TYPE[T.L-INTERSECTION],.,0.00015788454278961784,.,-0.00011110721770072602,-0.0002450377343021003
TRAFFICWAY_TYPE[T.NOT DIVIDED],-0.02774063536529521,-0.022895900997852374,0.03747422816496913,0.0002584846021202849,0.01622434689581164
TRAFFICWAY_TYPE[T.NOT REPORTED],.,.,.,.,.
TRAFFICWAY_TYPE[T.ONE-WAY],-0.0059544663830312225,-0.030270164054961204,0.08499446355060142,-0.008296455283320492,-0.00883248297638998
TRAFFICWAY_TYPE[T.OTHER],-0.0017776959413573123,-0.001107094331392835,0.009555263843556639,-0.00617530358598832,0.000554656281930608
TRAFFICWAY_TYPE[T.PARKING LOT],-0.004845003229482519,-0.014514340992146808,0.03208694522789497,-0.005747257614076653,0.002804392253957184
TRAFFICWAY_TYPE[T.RAMP],-0.0006178614144402032,-0.001139297368619314,0.0027350167064125385,-0.00012008333066427418,-0.0005122706715507005
TRAFFICWAY_TYPE[T.ROUNDABOUT],-0.0001042754146788666,-0.00012341596792766503,0.0002939043491472705,-0.0001125914501274508,.
TRAFFICWAY_TYPE[T.T-INTERSECTION],-0.0007332030503103929,.,0.0026323504936291704,-0.000313350510196695,-0.0015000650756520151
TRAFFICWAY_TYPE[T.TRAFFIC ROUTE],-0.00020343108683591783,-0.0004102628151787631,0.00018677188215382033,0.00020911279291023501,0.00020687105307819588
TRAFFICWAY_TYPE[T.UNKNOWN],-0.0011097396718824132,-0.0010223506616532806,0.005533203297747186,-0.0014195949779178879,-0.000786940419100368
TRAFFICWAY_TYPE[T.UNKNOWN INTERSECTION TYPE],.,-0.0003743044037607662,0.00038756375790328473,-0.0005254273299866594,0.0006118896285828552
TRAFFICWAY_TYPE[T.Y-INTERSECTION],-0.00027193992483716715,0.0006799487165379296,0.00023940485091059695,-0.00029736596954768943,-0.0003178577127913315
ALIGNMENT[T.CURVE ON HILLCREST],0.0002513181750711789,-0.00019453334868503952,0.0005892273967190695,-0.00012583677965576122,-0.0004898254528583825
"ALIGNMENT[T.CURVE, LEVEL]",0.0004378201424726918,-0.0030977223976799027,0.015527905203283674,-0.005617197227594696,-0.005857378219921942
ALIGNMENT[T.STRAIGHT AND LEVEL],-0.07674301750059928,-0.07474734572940024,0.3281962792987285,-0.012967900316052772,0.0017997678251809553
ALIGNMENT[T.STRAIGHT ON GRADE],.,-0.0004920194605901109,0.012159097506729421,-0.005492443613310196,-0.005379942078316001
ALIGNMENT[T.STRAIGHT ON HILLCREST],0.00026813666203673764,0.00041271067040265017,0.0023978800292056355,-0.0015505042958015175,-0.0015492252714629005
ROADWAY_SURFACE_COND[T.ICE],.,-0.00249577232503885,0.0052448490345243,-0.0015532316810836955,-0.0002604935352671315
ROADWAY_SURFACE_COND[T.OTHER],0.0001721850276489978,-0.0006904493089116196,0.0014519969383676333,-0.0005241606539214633,-0.0002554457557924901
"ROADWAY_SURFACE_COND[T.SAND, MUD, DIRT]",-0.00010145126270768093,0.0001425495812471435,0.0002530747264074219,-0.00012200500218272528,-0.00015782016532939623
ROADWAY_SURFACE_COND[T.SNOW OR SLUSH],-0.002126636811117485,-0.01276060156993863,0.0253830786512986,-0.008680656726716697,0.001801943536202887
