,0
PRIM_CONTRIBUTORY_CAUSE[T.DISTRACTION - FROM INSIDE VEHICLE],-0.037962514260042345
PRIM_CONTRIBUTORY_CAUSE[T.DISTRACTION - FROM OUTSIDE VEHICLE],-0.01867152266117931
"PRIM_CONTRIBUTORY_CAUSE[T.DISTRACTION - OTHER ELECTRONIC DEVICE (NAVIGATION DEVICE, DVD PLAYER, ETC.)]",-0.011411758689348994
PRIM_CONTRIBUTORY_CAUSE[T.DRIVING ON WRONG SIDE/WRONG WAY],-0.028695627298998758
PRIM_CONTRIBUTORY_CAUSE[T.DRIVING SKILLS/KNOWLEDGE/EXPERIENCE],0.04637629326144913
PRIM_CONTRIBUTORY_CAUSE[T.EQUIPMENT - VEHICLE CONDITION],-0.06287098218994659
"PRIM_CONTRIBUTORY_CAUSE[T.EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST]",-0.015393571887712698
PRIM_CONTRIBUTORY_CAUSE[T.EXCEEDING AUTHORIZED SPEED LIMIT],-0.0368258329861552
PRIM_CONTRIBUTORY_CAUSE[T.EXCEEDING SAFE SPEED FOR CONDITIONS],-0.018397512243192363
PRIM_CONTRIBUTORY_CAUSE[T.FAILING TO REDUCE SPEED TO AVOID CRASH],-0.065636899163978
PRIM_CONTRIBUTORY_CAUSE[T.FAILING TO YIELD RIGHT-OF-WAY],-0.05972533141354191
PRIM_CONTRIBUTORY_CAUSE[T.FOLLOWING TOO CLOSELY],0.022103948309574215
PRIM_CONTRIBUTORY_CAUSE[T.HAD BEEN DRINKING (USE WHEN ARREST IS NOT MADE)],-0.013654722669005012
PRIM_CONTRIBUTORY_CAUSE[T.IMPROPER BACKING],0.20773038702178506
PRIM_CONTRIBUTORY_CAUSE[T.IMPROPER LANE USAGE],0.028023816166786557
PRIM_CONTRIBUTORY_CAUSE[T.IMPROPER OVERTAKING/PASSING],0.0615400377563528
PRIM_CONTRIBUTORY_CAUSE[T.IMPROPER TURNING/NO SIGNAL],0.02264252566103101
PRIM_CONTRIBUTORY_CAUSE[T.MOTORCYCLE ADVANCING LEGALLY ON RED LIGHT],-0.0029187573802547323
PRIM_CONTRIBUTORY_CAUSE[T.NOT APPLICABLE],0.052163919075407635
PRIM_CONTRIBUTORY_CAUSE[T.OBSTRUCTED CROSSWALKS],0.0045136747747301165
"PRIM_CONTRIBUTORY_CAUSE[T.OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER]",-0.03354695323938476
PRIM_CONTRIBUTORY_CAUSE[T.PASSING STOPPED SCHOOL BUS],0.0071399923377732976
PRIM_CONTRIBUTORY_CAUSE[T.PHYSICAL CONDITION OF DRIVER],-0.08254231106882455
PRIM_CONTRIBUTORY_CAUSE[T.RELATED TO BUS STOP],0.01922040850286252
PRIM_CONTRIBUTORY_CAUSE[T.ROAD CONSTRUCTION/MAINTENANCE],0.006420578949551167
PRIM_CONTRIBUTORY_CAUSE[T.ROAD ENGINEERING/SURFACE/MARKING DEFECTS],0.007729319636988517
PRIM_CONTRIBUTORY_CAUSE[T.TEXTING],-0.012667918710824648
PRIM_CONTRIBUTORY_CAUSE[T.TURNING RIGHT ON RED],0.00568998400748689
PRIM_CONTRIBUTORY_CAUSE[T.UNABLE TO DETERMINE],0.03485915270176269
PRIM_CONTRIBUTORY_CAUSE[T.UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED)],-0.08066761235142203
"PRIM_CONTRIBUTORY_CAUSE[T.VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)]",0.0003985401608409001
PRIM_CONTRIBUTORY_CAUSE[T.WEATHER],-0.004584137558934628
SEC_CONTRIBUTORY_CAUSE[T.BICYCLE ADVANCING LEGALLY ON RED LIGHT],-0.0009211261208822671
SEC_CONTRIBUTORY_CAUSE[T.CELL PHONE USE OTHER THAN TEXTING],-0.006674187599861842
SEC_CONTRIBUTORY_CAUSE[T.DISREGARDING OTHER TRAFFIC SIGNS],-0.005677113515443778
SEC_CONTRIBUTORY_CAUSE[T.DISREGARDING ROAD MARKINGS],-0.001795652866300606
SEC_CONTRIBUTORY_CAUSE[T.DISREGARDING STOP SIGN],-0.0032002857970439367
SEC_CONTRIBUTORY_CAUSE[T.DISREGARDING TRAFFIC SIGNALS],-0.01336876591235952
SEC_CONTRIBUTORY_CAUSE[T.DISREGARDING YIELD SIGN],-0.00406688124916731
SEC_CONTRIBUTORY_CAUSE[T.DISTRACTION - FROM INSIDE VEHICLE],-0.01102576886803917
SEC_CONTRIBUTORY_CAUSE[T.DISTRACTION - FROM OUTSIDE VEHICLE],-0.009052970106462263
"SEC_CONTRIBUTORY_CAUSE[T.DISTRACTION - OTHER ELECTRONIC DEVICE (NAVIGATION DEVICE, DVD PLAYER, ETC.)]",-0.0018236352203783942
SEC_CONTRIBUTORY_CAUSE[T.DRIVING ON WRONG SIDE/WRONG WAY],-0.013135714072966893
SEC_CONTRIBUTORY_CAUSE[T.DRIVING SKILLS/KNOWLEDGE/EXPERIENCE],0.02070357956763631
SEC_CONTRIBUTORY_CAUSE[T.EQUIPMENT - VEHICLE CONDITION],-0.01843303980364602
"SEC_CONTRIBUTORY_CAUSE[T.EVASIVE ACTION DUE TO ANIMAL, OBJECT, NONMOTORIST]",-0.0008558084275680178
SEC_CONTRIBUTORY_CAUSE[T.EXCEEDING AUTHORIZED SPEED LIMIT],-0.02303462805585241
SEC_CONTRIBUTORY_CAUSE[T.EXCEEDING SAFE SPEED FOR CONDITIONS],-0.013784077122959495
SEC_CONTRIBUTORY_CAUSE[T.FAILING TO REDUCE SPEED TO AVOID CRASH],-0.04249013342567192
SEC_CONTRIBUTORY_CAUSE[T.FAILING TO YIELD RIGHT-OF-WAY],-0.006873313307952162
SEC_CONTRIBUTORY_CAUSE[T.FOLLOWING TOO CLOSELY],0.032116729660962844
SEC_CONTRIBUTORY_CAUSE[T.HAD BEEN DRINKING (USE WHEN ARREST IS NOT MADE)],-0.0077195178039725434
SEC_CONTRIBUTORY_CAUSE[T.IMPROPER BACKING],0.05380836322191018
SEC_CONTRIBUTORY_CAUSE[T.IMPROPER LANE USAGE],0.00891692330558663
SEC_CONTRIBUTORY_CAUSE[T.IMPROPER OVERTAKING/PASSING],0.013185987512959595
SEC_CONTRIBUTORY_CAUSE[T.IMPROPER TURNING/NO SIGNAL],0.004502843318662338
SEC_CONTRIBUTORY_CAUSE[T.MOTORCYCLE ADVANCING LEGALLY ON RED LIGHT],-0.0003070925846131518
SEC_CONTRIBUTORY_CAUSE[T.NOT APPLICABLE],0.016490059737793644
SEC_CONTRIBUTORY_CAUSE[T.OBSTRUCTED CROSSWALKS],0.0013189953370383821
"SEC_CONTRIBUTORY_CAUSE[T.OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER]",-0.01586753000916219
SEC_CONTRIBUTORY_CAUSE[T.PASSING STOPPED SCHOOL BUS],0.0013513316505323774
SEC_CONTRIBUTORY_CAUSE[T.PHYSICAL CONDITION OF DRIVER],-0.025597293910771448
SEC_CONTRIBUTORY_CAUSE[T.RELATED TO BUS STOP],0.00797857370172201
SEC_CONTRIBUTORY_CAUSE[T.ROAD CONSTRUCTION/MAINTENANCE],-0.0009536069679438457
SEC_CONTRIBUTORY_CAUSE[T.ROAD ENGINEERING/SURFACE/MARKING DEFECTS],-0.0068056793944191694
SEC_CONTRIBUTORY_CAUSE[T.TEXTING],0.0016675445446343268
SEC_CONTRIBUTORY_CAUSE[T.TURNING RIGHT ON RED],0.0014641732596180307
SEC_CONTRIBUTORY_CAUSE[T.UNABLE TO DETERMINE],0.004747952325544847
SEC_CONTRIBUTORY_CAUSE[T.UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED)],-0.018193250147255053
"SEC_CONTRIBUTORY_CAUSE[T.VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)]",-0.011727444187357026
SEC_CONTRIBUTORY_CAUSE[T.WEATHER],-0.011532456630718129
DOORING_I[T.Y],-0.03214331638802549
WORK_ZONE_I[T.Y],0.0011859311447765654
