,FATAL,INCAPACITATING INJURY,NO INDICATION OF INJURY,NONINCAPACITATING INJURY,"REPORTED, NOT EVIDENT"
ROADWAY_SURFACE_COND[T.ICE],0.0,0.0,0.0,0.0,0.0
ROADWAY_SURFACE_COND[T.OTHER],0.0,0.0,0.0,0.0,0.0
"ROADWAY_SURFACE_COND[T.SAND, MUD, DIRT]",0.0,0.0,0.0,0.0,0.0
ROADWAY_SURFACE_COND[T.SNOW OR SLUSH],0.0,0.0,0.024432868986766717,0.0,0.0
ROADWAY_SURFACE_COND[T.UNKNOWN],0.0,0.0,0.0,0.0,0.0
ROADWAY_SURFACE_COND[T.WET],0.0,0.0,0.0,0.0,0.0
ROAD_DEFECT[T.NO DEFECTS],0.0,0.0,0.0,0.0,0.0
ROAD_DEFECT[T.OTHER],0.0,0.0,0.0,0.0,0.0
"ROAD_DEFECT[T.RUT, HOLES]",0.0,0.0,0.0,0.0,0.0
ROAD_DEFECT[T.SHOULDER DEFECT],0.0,0.0,0.0,0.0,0.0
ROAD_DEFECT[T.UNKNOWN],0.0,0.0,0.0,0.0,0.0
ROAD_DEFECT[T.WORN SURFACE],0.0,0.0,0.0,0.0,0.0
REPORT_TYPE[T.NOT ON SCENE (DESK REPORT)],0.0,-0.10436104046443717,0.8001500468899957,-0.028916233112043433,0.25104463710390623
REPORT_TYPE[T.ON SCENE],0.0,0.0,0.0,0.03262086440664798,0.0
REPORT_TYPE[T.UNKNOWN],0.0,0.0,-0.02070353036357063,0.0,0.0
INTERSECTION_RELATED_I[T.Y],0.0,0.0,-0.13564996488566777,0.0007544679520059996,0.0
NOT_RIGHT_OF_WAY_I[T.Y],0.0,0.0,0.0,0.0,0.0
HIT_AND_RUN_I[T.Y],0.0,0.0,0.14894953157632404,0.0,0.0
"DAMAGE[T.$501 - $1,500]",0.0,0.0,0.0,0.0,0.0
"DAMAGE[T.OVER $1,500]",0.0,0.03082114283986577,-0.3527203775836921,0.0,-0.06849984326039477
PRIM_CONTRIBUTORY_CAUSE[T.BICYCLE ADVANCING LEGALLY ON RED LIGHT],0.0,0.0,0.0,0.0,0.0
PRIM_CONTRIBUTORY_CAUSE[T.CELL PHONE USE OTHER THAN TEXTING],0.0,0.0,0.0,0.0,0.0
PRIM_CONTRIBUTORY_CAUSE[T.DISREGARDING OTHER TRAFFIC SIGNS],0.0,0.0,-0.009189348334844341,0.0,0.0
PRIM_CONTRIBUTORY_CAUSE[T.DISREGARDING ROAD MARKINGS],0.0,0.0,0.0,0.0,0.0
PRIM_CONTRIBUTORY_CAUSE[T.DISREGARDING STOP SIGN],0.0,0.0,-0.030112359666423637,0.0,0.0
PRIM_CONTRIBUTORY_CAUSE[T.DISREGARDING TRAFFIC SIGNALS],0.0,0.0,-0.07761207898559486,0.001960145931791532,-0.006442359037262949
PRIM_CONTRIBUTORY_CAUSE[T.DISREGARDING YIELD SIGN],0.0,0.0,0.0,0.0,0.0
PRIM_CONTRIBUTORY_CAUSE[T.DISTRACTION - FROM INSIDE VEHICLE],0.0,0.0,-0.015214552937679798,0.0,0.0
PRIM_CONTRIBUTORY_CAUSE[T.DISTRACTION - FROM OUTSIDE VEHICLE],0.0,0.0,-0.007105425872562699,0.0,0.0
"PRIM_CONTRIBUTORY_CAUSE[T.DISTRACTION - OTHER ELECTRONIC DEVICE (NAVIGATION DEVICE, DVD PLAYER, ETC.)]",0.0,0.0,0.0,0.0,0.0
